Il n'y a plus que trois jours () le départ.	正解はavant。jusqu'àは継続的動作を伴う
ouvrier une fenêtre () le monde	sur
On accède () une autre dimension	à
Louis XIV a regné (1) depote (2) la France (3) plus d'un demi-siècle.	"(1) en ""〜という""表現にはcomme, en tant que, enが使える (2) sur　régner sur + 国・集団 (3) pendant　過去の期間を表す"
気がかりなテンポで	à un rythme alarmant
0.6%の成長で	avec une croissance de 0,6%
2巻で	en deux volumes
ある面では	par certains côtés
ダース単位で	par douzaine
順を追って、段階的に	par étapes
欲得ずくで	par intérêt
アルファベット順に	par ordre alphabétique
世帯あたりの収入	revenu par ménage
〜の指揮下で	sous la direction de
ショックを受けている	être sous la le choc
フランス２チャンネルで	sur France 2
オーダーメードのスーツ	costume sur mesure
約束を破る	manquer à sa promesse
〜で間違える(f)	faire des erreurs dans
BよりAを重んじる	passer A devant B
殴り合いになる	dégénérer en coups de poing
夢中になる	se passionner pour
やさしい点が評価されている	être apprécié pour sa gentillesse
工事のため閉館	fermé pour travaux
相続人として〜を認める	reconnaître... pour son héritier
誤りを他者のせいにする	rejeter la faute sur les autres
寄りかかる、〜に基づく	s'appuyer sur
〜に広がる	s'étaler sur
むしかえす	revenir sur
〜に気持ちが傾く	se tourner vers
〜に夢中になる(5,代名動詞)	se prendre de passion pour
〜した最初の人々の１人である	être parmi les premiers à
触れずにおく	passer... sous silence
〜するのは〜だけだ	être le seul à + inf
完璧に	à la perfection
〜の結果(後で)	à l'issue de
必要なときは（3）	à l'occasion
〜を除いて	à part
見かけに反して	contre toute apparence
全然〜でない（e,r）	en rien
全体としては	dans l'ensemble
おおまかに(4)	dans les grandes lignes
手に手をとって	la main dans la main
〜するのを恐れて	de peur de + inf
かろうじて(2)	de justesse
断然	de loin
斜めに	de travers
書くもの	de quoi écrire
生前は	de son vivant
〜と連絡がある（c）	en contact avec
この絵では暗い背景から花が浮き出て見える。	Dans ce tableau, les fleurs se détachent sur un fond sombre. se détacher deで分離を表す。ただし、一層際立って見えるといった場合はsurを使う。
彼は早く寝て、日の出とともに起きる。	Il se couche tôt et se lève avec le jour.
ハンドルの後ろから煙があがった。ショートしたのだ。	J'ai vu de la fumée sortir de derrière le volant: c'était un court-circuit.
そんなつまらないこと気にしないでください。	Ne vous en faites pas pour si peu.
彼にはあれほど長所があるのだから、成功してもよかったのに	Avec tant de qualités, il aurait pourtant dû réussir.
彼には100人ほどの部下がいる。	Il a une centaine d'hommes sous ses ordres. 従属性のsous
イタリアのチームは2対0で勝利した	L'équipe italienne a gagné par deux buts à zéro.gagner par 〜のスコアで勝つ
〜価格で買う	acheter pour 金額
買収する	acheter avec de l'argent
〜買う	achter à
宿題を手伝う	aider + 人 + dans son travail personnel
パーティ準備で	aider + 人 + pour une soirée
アドバイスして	aider + 人 + de ses conseils
行動で人を助ける	aider + 人 + par ses actions
人が〜するのを助ける	aider + 人 + à + inf
(ボタンなどを)押す	appuyer sur Il faut appyer sur le bouton.
ぴったりくっついている	appuyer contre L'echelle s'appuie contre le mur.
貢献する	contribuer à Il a contribué à la rédacion de cet article.
分担の手段	contribuer de Il a contribué de sa poche au cadeau de sa soeur.
負担額・割合	contribuer pour L'employeur contribue pour 40% au régime de retraite des employés.
(人生の)途中で	au cours de Il a eu beaucoup d'aventures au cours de sa vie.
(修復の)最中で	en cours de L'ecole est en cours de réparation.
〜と口論する（代名動詞、d）	se disputer avec
見分ける	distinguer dans distinguer +人+ dans la foule
聞き分ける	distinguer par distinguer +人+ par sa voix
AとBを見分ける	distinguer A de B
はしごを登る	à/sur l'échélle
はしごから落ちる	tomber de l'échelle
給与ランクが上がる	(抽象的) échelle dans l'échelle salariale
世界的に	à l'échelle internationale
être envahi(e)	〜であふれる  (状態) être envahi(e) de + 無冠詞名詞 (行為) être envahi(e) par + 冠詞名詞 La ville était envahie de touristes. La ville était envahie par les tourists.  その街は観光客であふれていた
(移動手段)で〜	être en(à) + 無冠詞名詞  être sur + 冠詞名詞   en(à) vélo sur son vélo
フランスで	(無冠詞) en France  (冠詞) dans le France (冠詞+) sur France Vague de froid sur toute la France   Mais aussi très souvent pour des lieux dans la ville : On est sur la place, sur le boulevard, sur l’avenue… Par contre, attention, on dit : Je marche DANS la rue !!
ノックする(f)	frapper à
叩く	frapper contre/sur
hésiter	à + inf  sur + 単数名詞 entre + 複数名詞 hésiter à faire  hésiter sur le choix à faire hésiter entre deux possiblitité
もてあそぶ	jouer avec Il joue avec sa vie; il roule à une vitesse incroyable.
気取る	jouer à Il aime jouer au grand seigneur.
演奏する	jouer de Il n'est jamais trop d'apprendre à jouer d'un instrument.
背く	manquer à Il ne manque jamais à sa parole.
欠ける	manquer de  La police manque de preuve pour arrêter cette femme.
ordre	(無冠詞) par(定冠詞) dans + lepar ordre alphabétiquedans l'ordre alphabétique
payer	(冠詞名詞) avec  (無冠詞名詞) en, par (時間単位) à avec une carte de crédit en espèces, en liquide payer + qn + à l'heure, 時給で payer + qn + au mois 月給で
se perfectionner 前置詞	(無冠詞) se perfectionner en (冠詞) se perfectionner dans se perfectionner en anglais se perfectionner dans la littérature allemend
plaisir	(無冠詞) par (定冠詞) pour par plaisir pour le plaisir
prendre 前置詞	(〜の上にある〜を取る) sur (〜から取り出す) dans (から出す) de
priorité	(基本形) surla priorité sur tout le reste donner la priorité à〜 en priorité
〜に返事する	répondre àIl a répondu à mon coup de téléphone.
請け合う	répondre de Je ne réponds plus de rien.
思い描く	rêver àJ'ai beaucoup rêvé à ce projet.  rêver de 憧れる
憧れる（r）	rêver de Dans la misère, il ne cesse de rêver d'un sort meilleur. 悲惨な状況で、彼はより良い運命を夢見続けています。  rêver à 思い描く
〜に富んだ	riche en
金持ちの	riche de
に役に立つ	servir à
使える、使う(3)	se servir de
souffler	中に吹き入れる dans  表面に吹きかける sur
執着する	tenir à
(性格が)似ている	tenir de
tourner 前置詞	(移動して)回転する tourner autour de(移動しないで)回転する tourner sur 左へ、右へ tourner à gauche(droite)〜の方へ向く se tourner versL'orateur s'est tourné vers le public.
〜するように気をつける(v)	veiller à
世話する(v)	veiller sur
voyager　前置詞	en/parどちらでも可(物の輸送:enは不可) Elle préfère voyager en/par avion. Le colis sera expédié par avion. (en不可)
再検討する、約束などを取り消す(2)	revenir sur
あなたはどちらの方へ行かれますか？	Et vous, vous allez de quel cêté? 方角を表す表現でàやversではない。
Il n'y a aucun survivant () cet accident d'avion.	à
他者よりも自分の得になることを優先する	Il place toujours son intérêt avant celui des autres. 前と言ってもdevantではなく順位を表すavantが入ります
1997年春季実用フランス語検定準１級 A : Elle s'est fracturé la jambe. B : Elle s'est fait une (     ) à la jambe.	fracture
1997年春季実用フランス語検定準１級 A : J'ai trouvé ce vin très fin B: J'ai apprécié la (     ) de ce vin.	finesse
1997年春季実用フランス語検定準１級 A : La police a longtemps poursuivi le criminel. B : La police a été longtemps à la (     ) du criminel.	poursuite
1997年春季実用フランス語検定準１級 A : L'Etat va financier ces travaux. B : L'Etat va se charger du (     ) de ces travaux.	financement
1997年春季実用フランス語検定準１級 A : On ne s'arrête que pendant 5 minutes. B : On ne fait que 5 minuite d'(     ).	arrêt
1997年春季 A : Ça fait cinq cents francs, y (     ) deux repas et les taxes. B : En fin de compte, ses propos ont été mal (     ).	compris
1997年春季 A : Ce n'est pas rare : c'est monnaie (     ). B : Ma chambre à Paris n'avait pas l'eau (     ).	courante
1997年春季 A : C'est très gentil à vous de me faire (     ) de cette nouvelle. B : Tu ne veux pas une (     ) de ce gâteau?	part
1997年春季 A : Je suis très tenté par cette (     ) : elle est compacte et pas chère. B : Pour mon anniversaire ma femme m'a offert une montre et une (     ) en argent.	chaîne
1997年春季 A : Les diplomates doivent bien connaître les coutumes du pays, autrement ils risquent de manquer à l'(). B : Mettez votre nom et votre adresse sur l'() de votre valise.	étiquette Bはタグ、ラベルの意味
1997年春季 Ce n'est pas (     ) cet angle qu'il faut voir le problème.	sous
1997年春季 Cette équipe est qualifiée (     ) la finale.	pour
1997年春季 En vue d'éviter les accidents, chaque cycliste doit recevoir une initiation (     ) la sécurité routière.	à
