source	nominal	ja	note
**briser** (v.)	la brisure	割れ目	
**écouter** (v.)	l'écoute	聴くこと	
**étudier** (v.)	l'étude	勉強、研究	
**souder** (v.)	la soudure	溶接	
**beau** (adj.)	la beauté	美しさ	
**s'acharner** (v.)	l'acharnement	執念、熱中	
**suspendre** (v.)	la suspension	中断	
**rude** (adj.)	la rudesse	荒々しさ	
**élire** (v.)	l'élection	選挙	
**se repentir** (v.)	le repentir	後悔	
**se méprendre** (v.)	la méprise	勘違い	
**tirer** (v.)	le tirage	くじ引き、印刷	
**installer** (v.)	l'installation	設置	
**penser** (v.)	la pensée	思考	
**éliminer** (v.)	l'élimination	排除	
**préparer** (v.)	la préparation	準備	
**poser** (v.)	la pose	ポーズ、設置	
**changer** (v.)	le changement	変化	
**préférer** (v.)	la préférence	好み	
**mélanger** (v.)	le mélange	混合	
**répondre** (v.)	la réponse	返答	
**saluer** (v.)	la salutation	挨拶	
**causer** (v.)	la causerie	雑談	
**agglomérer** (v.)	l'agglomération	集合体、都市圏	
**administrer** (v.)	l'administration	行政、管理	
**naître** (v.)	la naissance	誕生	
**insister** (v.)	l'insistance	主張、こだわり	
**important** (adj.)	l'importance	重要さ	
**traduire** (v.)	la traduction	翻訳	
**joli** (adj.)	la joliesse	可愛らしさ	
**se soucier** (v.)	le souci	心配	
**déménager** (v.)	le déménagement	引っ越し	
**quadriller** (v.)	le quadrillage	格子模様	
**sage** (adj.)	la sagesse	賢明さ	
**améliorer** (v.)	l'amélioration	改善	
**sérieux** (adj.)	le sérieux	真剣さ	
**gauche** (adj.)	la gaucherie	不器用さ	
**s'accroupir** (v.)	l'accroupissement	うずくまること	
**s'agenouiller** (v.)	l'agenouillement	ひざまずくこと	
**se résoudre** (v.)	la résolution	決意	
**expliquer** (v.)	l'explication	説明	
**ouvrir** (v.)	l'ouverture	開くこと	
**vieux** (adj.)	la vieillesse	老い	
**lire** (v.)	la lecture	読書	
**chanter** (v.)	le chant	歌	
**lisible** (adj.)	la lisibilité	可読性	
**se fourvoyer** (v.)	l'égarement	道を踏み外すこと	
**secouer** (v.)	la secousse	揺れ	
**stupide** (adj.)	la stupidité	愚かさ	
**éroder** (v.)	l'érosion	浸食	
**envelopper** (v.)	l'enveloppe	封筒	
**vérifier** (v.)	la vérification	確認	
**légal** (adj.)	la légalité	合法性	
**opprimer** (v.)	l'oppression	圧迫	
**compléter** (v.)	la complétion	完了	
**sale** (adj.)	la saleté	汚れ	
**insulter** (v.)	l'insulte	侮辱	
**haut** (adj.)	la hauteur	高さ	
**mouvoir** (v.)	le mouvement	動き	
**employer** (v.)	l'emploi	雇用	
**vert** (adj.)	la verdeur	未熟さ、青々しさ	
**réconforter** (v.)	le réconfort	慰め	
**discuter** (v.)	la discussion	議論	
**brûler** (v.)	la brûlure	やけど	
**se lier** (v.)	la liaison	関係、つながり	
**bizarre** (adj.)	la bizarrerie	奇妙さ	
**soustraire** (v.)	la soustraction	引き算	
**s'enfuir** (v.)	la fuite	逃走	
**fiable** (adj.)	la fiabilité	信頼性	
**cohabiter** (v.)	la cohabitation	同棲	
**se sevrer** (v.)	le sevrage	離乳、禁断	
**se coucher** (v.)	le coucher	就寝	
**décorer** (v.)	la décoration	装飾	
**saigner** (v.)	le saignement	出血	
**filer** (v.)	la filature	紡績、尾行	
**abattre** (v.)	l'abattage	伐採、屠殺	
**se voir** (v.)	l'entrevue	会見	
**rendre** (v.)	le rendement	収益	
**prospère** (adj.)	la prospérité	繁栄	
**sortir** (v.)	la sortie	出口	
**incendier** (v.)	l'incendie	火事	
**courir** (v.)	la course	走ること、競争	
**se fâcher** (v.)	la colère	怒り	
**zigzaguer** (v.)	le zigzag	ジグザグ	
**kidnapper** (v.)	le kidnapping	誘拐	
**imaginer** (v.)	l'imagination	想像力	
**raisonner** (v.)	le raisonnement	推論	
**se désister** (v.)	le désistement	放棄、辞退	
**naviguer** (v.)	la navigation	航海	
**permettre** (v.)	la permission	許可	
**supérieur** (adj.)	la supériorité	優位	
**ravir** (v.)	le ravissement	喜び	
**humain** (adj.)	l'humanité	人間性	
**prévoir** (v.)	la prévision	予測	
**arrêter** (v.)	l'arrestation	逮捕	
**grimper** (v.)	la grimpe	登ること	口語的
**entrer** (v.)	l'entrée	入口、入場	
**zoomer** (v.)	le zoom	ズーム	
**séduire** (v.)	la séduction	誘惑	
**constater** (v.)	la constatation	確認	
