acquérir	獲得する
siéger	（議会・委員会に）出席する／議席を占める
relayer	中継する、交代する
invoquer	引き合いに出す、訴える
redémarrer	再起動する、再開する
percer	突き抜ける、貫通する
divulguer	暴露する、漏らす
inciter	そそのかす、促す
atténuer	和らげる、弱める
prodiguer	惜しみなく与える
tenir qqn en estime	～に一目置く
convoquer	呼び出す、招集する
initier	入門させる、始める
stagner	停滞する
rehausser	引き立たせる、高める
veiller à	～に気を配る
interpeller sur	～について質問する、問いただす
écarter	退ける、除外する
parer	かわす、防ぐ、飾る
résider	住む、居住する
démanteler	解体する、（組織を）壊す
accoster	横付けにする、（人に）話しかける
faire part de A à B	AをBに伝える
sommer	命じる、要求する
croître	増大する、成長する
détacher	切り離す、派遣する
dissoudre	溶かす、解散する
pénaliser	不利にする、罰則を与える
émaner	（感情などが）にじみ出る、発する
scander	（スローガンを）唱える
désavantager	不利にする
relever de	～に属する
contrecarrer	妨害する、阻止する
tâcher de	～しようと努める
conquérir	征服する、獲得する
inciter à	～するよう促す
gravir	登る
ouvrir le feu	発砲する、攻撃を開始する
aggraver	悪化させる、深刻にする
submerger	圧倒する、水浸しにする
côtoyer	隣り合う、～と接する
épargner	免れさせる、節約する、貯蓄する
piller	略奪する
déchirer	引き裂く
fouiller	捜す、掘り起こす、探る
rédiger	作成する、執筆する
encadrer	枠にはめる、監督する
perdurer	持続する、長続きする
promulguer	公布する、発布する
modeler	形作る、成形する
riposter	反撃する、言い返す
