inculper	（人を）告発する
contaminer	感染させる、汚染する
constituer	構成する、設立する
infléchir	方向を変える、曲げる
formuler	表現する、述べる
assigner	割り当てる；（法）召喚する
être porté à	～する傾向にある
exhiber	公開する、誇示する
alléger	緩和する、軽くする
engloutir	沈める、飲み込む
préconiser	推奨する、提唱する
injurier	侮辱する、罵る
breveter	特許を与える
maîtriser	制御する、習得する
remercier	感謝する、礼を言う
ajourner	先送りにする、延期する
désigner	指名する、示す
valider	承認する、有効にする
replacer	新しい地位に置く
trancher	切る、決着をつける
défier	挑む、挑戦する
prendre la peine de	わざわざ～する
articuler	明確に述べる、関連づける
abaisser	下げる、減少させる
renverser	ひっくり返す、倒す、逆転させる
impliquer	関与させる、巻き込む；（意味として）含む
supprimer	削除する、廃止する
conférer A à B	AをBに与える
nettoyer	きれいにする、掃除する
partager	共有する、分け合う
régner	君臨する、支配する
expulser	追放する、退去させる
saluer	挨拶する、称賛する
renouveler	新しくする、更新する
restreindre	制限する、抑制する
fissurer	ひびを入れる、割る
révéler	明かす、暴露する、示す
inoculer	接種する、注入する
assainir	健全にする、浄化する
avouer	白状する
dérober	奪う、盗む
réconcilier	仲直りさせる、和解させる
assortir	組み合わせる、調和させる
confondre	混同する、間違える
soulever	引き起こす、提起する；持ち上げる
prévoir	予測する
dissimuler	隠す
amender	修正する、改正する
arracher	もぎ取る、奪い取る、引き抜く
attraire	惹きつける、魅了する
subsister	存続する、生き残る
