rater	失敗する、逃す
requérir	必要とする、要求する
enfiler	はめる、身につける、通す
inhumer	埋葬する
consigner	記録する、書き留める；（荷物などを）預ける
intervenir	介入する、干渉する、起こる
fleurir	繁栄する、花が咲く
rattraper	追いつく
licencier	解雇する
éliminer	取り除く、排除する
rendre des comptes	説明責任を果たす
assaillir	襲いかかる
évacuer	排出する、避難させる
remetめる	延期する、渡す
reprendre	再開する
tenir qqch pour	～とみなす
ancrer	～を植え付ける
solliciter	懇願する、求める、要請する
tirer sur	狙撃する、（銃で）撃つ
relâcher	緩める、解放する
suggérer	提案する、示唆する
extraire	取り出す、抽出する
immerger	沈める、没入させる
entrer en fusion	溶解する
inverser	反転させる、逆にする
ramasser	拾う、集める
exprimer	表現する、（液体などを）絞り出す
interpeller	呼びかける、呼び止める
réécrire	改訂する、書き直す
rémunérer	報酬を与える、支払う
desservir	（交通が）通じる；不利益を与える
pérenniser	永続させる
défiler	次々と通る、行進する
commercialiser	商品化する、市場に出す
défendre	守る、擁護する
allonger	伸ばす、延ばす
ajouter	付け加える、追加する
proférer	叫ぶ、（暴言を）発する
adoucir	和らげる
projeter	投げる、投影する、計画する
répliquer	反論する、応答する
rembourser	払い戻す、返金する
briefer	指示を与える、簡単に説明する
percuter	ぶつかる、衝突する
enjoindre à	～するよう命じる
pénétrer	浸透する、貫通する
découper	分ける、切り取る
promouvoir	促進する、昇進させる
déposséder	奪う
adhérer à	賛同する、～に加盟する
persuader de	～するよう説得する
