provenir de	由来する、～から来る
destituer	奪う、解任する
déceler	発見する、見抜く
injecter	投与する、注入する
supplier	嘆願する
retirer	取り下げる、撤回する
manigancer	策略する、陰謀を企てる
brûler	火傷する、燃やす
renvoyer	解雇する、送り返す
exploiter	搾取する、活用する
saper	弱体化させる、損なう
émanciper	自由にする、解放する
favoriser	促進する、優遇する
réintégrer	再統合する、復帰させる
persister	固執する、続く
faire allusion à	～をほのめかす
concevoir	構想する、理解する、考案する、設計する
recycler	リサイクルする、再利用する
tuer ... dans l'œuf	芽のうちに摘む
consolider	固める、強化する
dissuader de	思いとどまらせる、抑止する
enfouir	埋める
remédier	対処する、是正する、改善する
sinuer	くねくねと進む
détailler	詳細に述べる、説明する
assembler	組み立てる
intenter	訴訟を起こす
aller de l'avant	前進する
introduire	導入する、紹介する
mettre aux enchères	競りにかける
contre-attaquer	反撃する
octroyer	授ける、（恩恵として）与える
nouer	築く（関係など）、結ぶ
ébranler	不安定にする、揺るがす
prédire	予測する、予言する
soumettre	提出する、服従させる
engranger	蓄える
enquêter	捜査する、調査する
prévenir	予防する、知らせる、警告する、防ぐ
propulser	前進させる、推進する
glisser	こっそり入れる、滑る
barrer	塞ぐ、閉鎖する
cracher	吹き出す、唾を吐く
repousser	延期する、押し戻す、撃退する
approfondir	掘り下げる、深める
infliger	課す、（罰・苦痛を）与える
sécuriser	安全を確保する
recourir à	用いる、～に頼る
déployer	展開する、広げる
