se féliciter de	満足する、～を喜ぶ
s'inquiéter	心配する
s'entasser	積み重なる、詰め込まれる
s'appliquer à	～に当てはまる、努力する
s'incliner	お辞儀する、屈する、服従する
s'effriter	もろくなる、崩れる、粉々になる
s'évertuer à	～しようと努める
s'allonger	伸びる、横になる
s'émerveiller	驚く
s'affranchir de	～から脱する
s'avérer	～であると判明する
s'engager	関与する、約束する
se tromper	間違える
s'éteindre	消える
s'identifier à	～と同一視する
se propager	広がる
se pencher	身を乗り出す、傾ける
s'abaisser	下がる、屈辱を受ける
s'échapper	逃げる、抜け出す
s'acharner	執拗に攻撃する、粘る
s'affirmer	自己主張する
s'immoler	焼身自殺する、犠牲となる
s'ajouter à	～に加わる
s'adapter	適応する
s'envoler	飛び去る、上昇する
s'y prendre	やり方を知っている、対処する
s'approprier	横領する、自分のものにする
s'ébattre	戯れる
s'éprendre de	～に恋する
s'en prendre à	攻撃する、非難する
s'élancer	突進する、飛び出す
s'excuser	弁解する、謝る
s'établir	定住する、確立される
s'octroyer	自分に与える、許可する
s'enrichir	豊かになる
s'effacer	姿を消す、消滅する
s'élever	上がる、立ち上がる
s'abstenir de	～を控える
s'éloigner	遠ざかる
s'intégrer	統合する
se réconcilier	和解する
se diluer	希釈される、薄まる
s'amenuiser	弱まる、減少する
s'amplifier	増幅する、拡大する
s'abattre	倒れる、襲いかかる
s'enthousiasmer pour	～に熱中する
s'accélérer	加速する、速まる
s'évanouir	気を失う、消える
s'ébrouer	鼻息を荒くする
