s'écrouler	倒れる、崩壊する
s'achever	完了する、完結する、終わる
s'étendre	及ぶ、広がる
s'unir	団結する、結婚する
s'allier	協力する、同盟を結ぶ
s'acquitter de	遂行する、（義務などを）果たす
s'abonner à	加入する、～を定期購読する
s'immerger	没頭する、浸る
se détériorer	悪化する
se prononcer	表明する
se qualifier pour	～の出場資格を得る
se tenir	行儀よくする、～の状態にある
se replier	引き下がる、退却する
s'apaiser	和らぐ
se hâter	急ぐ
s'imposer	必須である
se référer à	頼る、～を参照する
s'approcher	近づく
se développer	発展する
s'abîmer	台無しになる、沈む
se fâcher	怒る、腹を立てる
se douter de	～を予感する
s'ouvrir	開く
s'égarer	道に迷う
se plaindre	不平を言う
se moquer de	～を嘲笑する
se soucier de	～を気にする
s'habituer à	慣れる
se focaliser sur	～に集中する
s'introduire	入り込む、侵入する
s'interposer	仲裁に入る
se jeter	飛び込む、身を投げる
se méfier de	～を信用しない
se noyer	溺れる
se passer	過ごす、行われる、起きる
se présenter	自己紹介する、出頭する
se rappeler	思い出す
se rebeller	反乱を起こす、反抗する
se rendre	出向く、降伏する
se reposer	休息する
se réserver de	～する権利を留保する
se résoudre à	～することを決意する
se retirer	引退する、撤退する
se réunir	集まる
se révolter	反抗する、暴動を起こす
se révéler	明らかになる
se servir de	～を利用する
se spécialiser dans	～を専門とする
se stabiliser	安定する
